City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
287,Beysehir,TR,37.6773,31.7246,26.26,91,16,4.72,few clouds
288,Lieksa,FI,63.3167,30.0167,26.4,93,100,17.52,snow
289,Husavik,IS,66.0449,-17.3389,24.71,77,100,8.23,overcast clouds
290,Carutapera,BR,-1.195,-46.02,80.4,83,100,6.8,moderate rain
291,Russell,US,32.3502,-85.1999,56.48,52,44,6.64,scattered clouds
292,Necochea,AR,-38.5473,-58.7368,64.04,72,98,19.73,overcast clouds
293,Ostersund,SE,63.1792,14.6357,21.61,93,100,2.3,overcast clouds
294,Rameswaram,IN,9.2833,79.3,80.01,67,92,20.8,overcast clouds
295,Khuzhir,RU,53.1939,107.3397,12.96,88,80,5.14,broken clouds
296,Cabra,ES,37.4725,-4.4421,56.14,73,12,3.27,few clouds
297,Montorio Al Vomano,IT,42.5831,13.6383,52.07,79,2,7.99,clear sky
298,Gat,IL,31.61,34.7642,54.91,83,0,5.59,clear sky
299,Ugoofaaru,MV,5.6667,73.0,81.19,67,68,10.2,broken clouds
300,San Antonio,US,29.4241,-98.4936,58.48,37,0,1.99,clear sky
301,Minab,IR,27.1467,57.0801,65.7,63,0,2.3,clear sky
302,Fortuna,US,40.5982,-124.1573,61.93,61,0,5.75,clear sky
303,Oneonta,US,42.4529,-75.0638,30.29,78,41,12.91,scattered clouds
304,Tamworth,GB,52.634,-1.6959,44.47,81,80,7.0,broken clouds
305,Talnakh,RU,69.4865,88.3972,-26.18,98,52,2.53,broken clouds
306,Turinsk,RU,58.0458,63.696,10.63,94,100,5.44,overcast clouds
307,Boulder,US,40.0833,-105.3505,35.11,51,0,5.01,clear sky
308,Denizli,TR,37.8402,29.0698,41.85,61,0,3.96,clear sky
309,Makakilo City,US,21.3469,-158.0858,77.32,72,0,3.44,light rain
310,Hamilton,US,39.1834,-84.5333,40.14,58,0,3.0,clear sky
311,Baykit,RU,61.67,96.37,-6.41,100,100,2.53,overcast clouds
312,Deputatskiy,RU,69.3,139.9,-34.47,98,88,5.23,overcast clouds
313,Shingu,JP,33.7333,135.9833,38.91,73,33,6.02,scattered clouds
314,Klyuchi,RU,52.2667,79.1667,-3.51,99,32,4.05,scattered clouds
315,Cabedelo,BR,-6.9811,-34.8339,86.67,62,20,10.45,few clouds
316,Pantai Remis,MY,4.4557,100.6288,77.02,86,100,1.61,light rain
317,Pimampiro,EC,0.4,-77.9667,67.64,72,96,1.95,light rain
318,Tongchuan,CN,35.0806,109.0897,22.28,89,100,5.17,overcast clouds
319,Bud,US,39.447,-86.1758,38.75,56,0,6.93,clear sky
320,Flinders,AU,-34.5833,150.8552,66.79,85,77,10.0,light rain
321,Mayumba,GA,-3.432,10.6554,78.04,87,65,4.03,broken clouds
322,Stonewall,CA,50.1344,-97.3268,6.71,89,85,5.66,overcast clouds
323,Behbahan,IR,30.5959,50.2417,51.12,60,0,5.91,clear sky
324,Bonavista,CA,48.6499,-53.1147,16.12,63,100,25.41,overcast clouds
325,Rio Grande,BR,-32.035,-52.0986,75.94,56,56,13.24,broken clouds
326,Gobabis,NA,-22.45,18.9667,71.87,57,48,6.71,scattered clouds
327,Egvekinot,RU,66.3167,-179.1667,-14.57,83,2,7.25,clear sky
328,San Pedro De Ycuamandiyu,PY,-24.0917,-57.0764,90.91,30,1,10.2,clear sky
329,Bitkine,TD,11.9801,18.2138,76.12,16,0,8.28,clear sky
330,Lavrentiya,RU,65.5833,-171.0,-12.37,93,5,6.89,clear sky
331,Sokoni,TZ,-6.4333,39.55,80.83,83,100,10.27,overcast clouds
332,Pavlodar,KZ,52.3,76.95,-2.4,78,0,11.18,clear sky
333,Bundaberg,AU,-24.85,152.35,67.21,86,68,5.01,broken clouds
334,Les Cayes,HT,18.2,-73.75,82.71,53,2,10.11,clear sky
335,Oda,JP,35.1833,132.5,38.34,58,95,10.54,overcast clouds
336,Bowen,AU,-20.0167,148.2333,73.69,81,76,12.41,broken clouds
337,El Alto,PE,-4.2714,-81.2147,80.26,67,17,15.39,few clouds
338,Srednekolymsk,RU,67.45,153.6833,-36.83,100,58,1.28,broken clouds
339,Olinda,BR,-8.0089,-34.8553,83.93,61,0,8.05,clear sky
340,Champerico,GT,14.3,-91.9167,93.76,57,7,11.45,clear sky
341,Whitehorse,CA,60.7161,-135.0538,32.77,86,75,14.97,broken clouds
342,Waddan,LY,29.1614,16.139,62.04,18,7,6.49,clear sky
343,Beisfjord,NO,68.3751,17.5988,30.25,82,100,9.42,overcast clouds
